marca,modello,ft,prezzo_min,prezzo_medio,potenza_media_kw,bagagliaio_l,consumo_medio,peso_medio_kg,lunghezza_mm,n_versioni,consumo_stimato,trazione_prevalente,larghezza_mm,altezza_mm
HYUNDAI,Inster Cross,electric,29900,29900.0,28.0,238.0,15.0,,3845.0,1,True,anteriore,1610.0,1575.0
HYUNDAI,Kona,electric,38700,41300.0,50.0,466.0,15.0,,4355.0,5,True,anteriore,1825.0,1580.0
HYUNDAI,Kona,lpg,26950,27650.0,71.0,466.0,7.5,,4350.0,2,True,anteriore,1825.0,1580.0
HYUNDAI,Kona,petrol,26950,31350.0,102.0,466.0,5.5,,4350.0,5,False,anteriore,1825.0,1580.0
HYUNDAI,Kona,petrol/electric,29350,34350.0,95.0,466.0,5.5,,4350.0,5,True,anteriore,1825.0,1580.0
HYUNDAI,Tucson,petrol,34400,36700.0,110.0,620.0,6.5,,4525.0,5,True,anteriore,1865.0,1650.0
HYUNDAI,Tucson,petrol/electric,38500,43500.0,176.0,587.0,6.5,,4525.0,16,True,anteriore,1865.0,1650.0
HYUNDAI,i20,petrol,19900,23750.0,66.0,352.0,5.5,,4065.0,5,True,anteriore,1775.0,1450.0
HYUNDAI,i30,petrol,28050,31350.0,85.0,395.0,6.5,,4340.0,9,True,anteriore,1795.0,1455.0
HYUNDAI,i30,petrol/electric,30900,32150.0,88.5,395.0,5.5,,4340.0,6,True,anteriore,1795.0,1455.0
JEEP,Avenger,electric,39400,40900.0,62.0,355.0,15.0,,4084.0,5,True,anteriore,1748.0,1534.0
JEEP,Avenger,petrol,25700,28700.0,74.0,380.0,5.5,,4084.0,4,True,anteriore,1748.0,1534.0
JEEP,Avenger,petrol/electric,27700,31700.0,81.0,380.0,5.5,,4084.0,9,True,anteriore,1748.0,1534.0
JEEP,Compass,electric,47900,49650.0,104.0,550.0,18.0,,4548.0,4,True,anteriore,1904.0,1678.0
JEEP,Compass,petrol/electric,40900,44900.0,136.0,550.0,6.5,,4548.0,8,True,anteriore,1904.0,1678.0
JEEP,Grand Cherokee,petrol/electric,93000,99500.0,279.0,570.0,6.5,,4914.0,2,True,"posteriore, anteriore inseribile",1960.0,1858.0
JEEP,Renegade,petrol/electric,35600,35600.0,96.0,351.0,5.5,,4239.0,1,True,anteriore,1805.0,1684.0
JEEP,Wrangler 4p,petrol,71500,72500.0,200.0,533.0,8.5,,4882.0,2,True,"posteriore, anteriore inseribile",1894.0,1843.0
JEEP,Wrangler 4p,petrol/electric,85500,86750.0,279.0,533.0,3.4,,4882.0,2,False,"posteriore, anteriore inseribile",1894.0,1843.0
KIA,EV2,electric,26600,34350.0,36.0,362.0,15.0,,4065.0,5,True,anteriore,1800.0,1585.0
KIA,EV3,electric,35950,41950.0,50.0,460.0,15.0,,4300.0,6,True,anteriore,1850.0,1560.0
KIA,EV4,electric,37950,44775.0,50.0,435.0,15.0,,4430.0,6,True,anteriore,1860.0,1485.0
KIA,Niro,petrol/electric,33250,38000.0,95.0,451.0,1.3,,4420.0,9,False,anteriore,1825.0,1545.0
KIA,Picanto,lpg,19550,21100.0,47.0,255.0,7.5,,3605.0,4,True,anteriore,1595.0,1485.0
KIA,Picanto,petrol,17800,20400.0,50.0,255.0,5.5,,3605.0,6,True,anteriore,1595.0,1485.0
KIA,Sportage,lpg,35750,38125.0,106.0,591.0,8.5,,4540.0,4,True,anteriore,1865.0,1645.0
KIA,Sportage,petrol,33750,36125.0,110.0,591.0,6.5,,4540.0,4,True,anteriore,1865.0,1645.0
KIA,Sportage,petrol/electric,36250,45250.0,176.0,587.0,6.5,,4540.0,22,True,anteriore,1865.0,1645.0
KIA,Stonic,lpg,24800,25775.0,69.0,352.0,7.5,,4165.0,2,True,anteriore,1760.0,1520.0
KIA,Stonic,petrol,22800,23775.0,74.0,352.0,5.5,,4165.0,2,True,anteriore,1760.0,1520.0
