marca,modello,ft,prezzo_min,prezzo_medio,potenza_media_kw,bagagliaio_l,consumo_medio,peso_medio_kg,lunghezza_mm,n_versioni,consumo_stimato,trazione_prevalente,larghezza_mm,altezza_mm,carrozzeria_prevalente
DACIA,Sandero,petrol,14800,17250.0,74.0,410.0,6.3,,4088.0,6,False,anteriore,1758.0,1499.0,berlina 3/5 porte
DACIA,Spring,electric,17900,19450.0,19.0,343.0,15.0,,3701.0,8,True,anteriore,1583.0,1519.0,berlina 3/5 porte
DS,DS 3,electric,42080,42780.0,62.0,350.0,15.0,,4118.0,5,True,anteriore,1791.0,1534.0,Suv/Fuoristrada
DS,DS 3,full_hybrid,34350,35250.0,107.0,350.0,5.5,,4118.0,5,True,anteriore,1791.0,1534.0,Suv/Fuoristrada
DS,DS 4,diesel,38350,39550.0,96.0,430.0,4.0,,4400.0,5,False,anteriore,1866.0,1490.0,berlina 3/5 porte
DS,DS 4,full_hybrid,37650,45675.0,136.0,430.0,1.6,,4400.0,10,False,anteriore,1866.0,1490.0,berlina 3/5 porte
DS,DS 7,diesel,45900,46900.0,96.0,555.0,4.0,,4593.0,5,False,anteriore,1906.0,1625.0,Suv/Fuoristrada
DS,DS N&deg;4,diesel,40200,41900.0,96.0,430.0,4.0,,4400.0,6,False,anteriore,1830.0,1490.0,berlina 3/5 porte
DS,DS N&deg;4,electric,43550,44950.0,104.0,390.0,18.0,,4400.0,10,True,anteriore,1830.0,1490.0,berlina 3/5 porte
DS,DS N&deg;4,full_hybrid,39000,48050.0,165.0,360.0,1.6,,4400.0,18,False,anteriore,1830.0,1490.0,berlina 3/5 porte
DS,DS N&deg;8,electric,59150,71490.0,105.0,620.0,18.0,,4835.0,7,True,anteriore,1895.0,1575.0,Suv/Fuoristrada
FERRARI,12Cilindri,petrol,395000,415000.0,607.0,235.0,8.5,,4733.0,2,True,posteriore,2000.0,1292.0,coupé
FERRARI,296 GTB,full_hybrid,275500,341250.0,629.0,169.0,6.5,,4595.0,2,True,posteriore,1963.0,1184.0,coupé
FERRARI,296 GTS,full_hybrid,320000,391000.0,629.0,169.0,6.5,,4595.0,2,True,posteriore,1963.0,1186.0,cabrio e spider
FERRARI,Amalfi,petrol,240000,240000.0,471.0,273.0,10.7,,4660.0,1,False,posteriore,1974.0,1301.0,coupé
FERRARI,Purosangue,petrol,390000,390000.0,529.0,473.0,8.5,,4973.0,1,True,integrale permanente,2028.0,1589.0,Suv/Fuoristrada
FERRARI,Roma,petrol,219071,234535.5,456.0,263.5,10.7,,4656.0,2,False,posteriore,1974.0,1303.5,coupé
FIAT,500,electric,23900,28400.0,43.0,185.0,15.0,,3631.0,10,True,anteriore,1684.0,1532.0,berlina 3/5 porte
FIAT,500,full_hybrid,19900,22150.0,48.0,183.0,4.8,,3631.0,6,True,anteriore,1684.0,1532.0,berlina 3/5 porte
FIAT,500 2015,full_hybrid,17700,18950.0,51.0,185.0,3.9,,3571.0,2,False,anteriore,1627.0,1488.0,berlina 3/5 porte
FIAT,500 cabrio 2015,full_hybrid,20200,22700.0,51.0,185.0,3.9,,3571.0,3,False,anteriore,1627.0,1488.0,cabrio e spider
FIAT,Grande Panda,electric,23900,25150.0,53.0,361.0,15.0,,3999.0,4,True,anteriore,1763.0,1586.0,berlina 3/5 porte
FIAT,Grande Panda,petrol,17900,20025.0,74.0,412.0,5.1,,3999.0,4,False,anteriore,1763.0,1586.0,berlina 3/5 porte
FIAT,Grande Panda,full_hybrid,19900,22025.0,81.0,412.0,5.1,,3999.0,4,False,anteriore,1763.0,1586.0,berlina 3/5 porte
FIAT,Panda,full_hybrid,15950,16800.0,52.0,225.0,3.9,,3686.0,3,False,anteriore,1643.0,1551.0,berlina 3/5 porte
FIAT,Panda Cross,full_hybrid,18600,18600.0,51.0,225.0,3.9,,3705.0,1,False,anteriore,1662.0,1600.0,berlina 3/5 porte
FIAT,Pandina,full_hybrid,15950,16900.0,48.0,225.0,4.8,,3686.0,3,True,anteriore,1714.0,1551.0,berlina 3/5 porte
